Year,2035_RenewableShare,2035_NonRenewableShare,2035_TotalImpact,2045_RenewableShare,2045_NonRenewableShare,2045_TotalImpact,2055_RenewableShare,2055_NonRenewableShare,2055_TotalImpact,2065_RenewableShare,2065_NonRenewableShare,2065_TotalImpact,2075_RenewableShare,2075_NonRenewableShare,2075_TotalImpact
2025,0.2583617763291186,0.7416382236708814,1.05810814,0.2583617763291186,0.7416382236708814,1.05810814,0.2583617763291186,0.7416382236708814,1.05810814,0.2583617763291186,0.7416382236708814,1.05810814,0.2583617763291186,0.7416382236708814,1.05810814
2026,0.3125255986962068,0.6874744013037932,0.9867828213877425,0.2854436875126627,0.7145563124873373,1.0224454806938712,0.27641638378481465,0.7235836162151854,1.0343330337959142,0.27190273192089065,0.7280972680791093,1.0402768103469358,0.26919454080253624,0.7308054591974638,1.0438430762775484
2027,0.3666894210632949,0.6333105789367051,0.9154575027754848,0.3125255986962068,0.6874744013037932,0.9867828213877425,0.2944709912405107,0.7055290087594893,1.0105579275918284,0.2854436875126627,0.7145563124873373,1.0224454806938712,0.2800273052759539,0.7199726947240461,1.029578012555097
2028,0.42085324343038305,0.5791467565696169,0.8441321841632273,0.33960750987975086,0.6603924901202491,0.9511201620816137,0.3125255986962068,0.6874744013037932,0.9867828213877425,0.29898464310443473,0.7010153568955653,1.0046141510408069,0.2908600697493715,0.7091399302506285,1.0153129488326453
2029,0.47501706579747116,0.5249829342025288,0.7728068655509699,0.3666894210632949,0.6333105789367051,0.9154575027754848,0.3305802061519028,0.6694197938480972,0.9630077151836567,0.3125255986962068,0.6874744013037932,0.9867828213877425,0.30169283422278914,0.6983071657772109,1.001047885110194
2030,0.5291808881645593,0.4708191118354407,0.7014815469387123,0.39377133224683897,0.606228667753161,0.8797948434693561,0.34863481360759885,0.6513651863924012,0.9392326089795707,0.3260665542879788,0.6739334457120212,0.9689514917346781,0.3125255986962068,0.6874744013037932,0.9867828213877425
2031,0.5833447105316475,0.4166552894683525,0.6301562283264548,0.42085324343038305,0.5791467565696169,0.8441321841632273,0.3666894210632949,0.6333105789367051,0.9154575027754848,0.33960750987975086,0.6603924901202491,0.9511201620816137,0.3233583631696244,0.6766416368303756,0.9725177576652909
2032,0.6375085328987355,0.36249146710126445,0.5588309097141975,0.4479351546139271,0.5520648453860729,0.8084695248570988,0.3847440285189909,0.6152559714810091,0.8916823965713992,0.35314846547152284,0.6468515345284771,0.9332888324285492,0.334191127643042,0.665808872356958,0.9582526939428394
2033,0.6916723552658237,0.3083276447341763,0.4875055911019399,0.47501706579747116,0.5249829342025288,0.7728068655509699,0.402798635974687,0.597201364025313,0.8679072903673132,0.3666894210632949,0.6333105789367051,0.9154575027754848,0.3450238921164596,0.6549761078835403,0.9439876302203879
2034,0.7458361776329119,0.2541638223670881,0.41618027248968237,0.5020989769810152,0.49790102301898476,0.7371442062448412,0.42085324343038305,0.5791467565696169,0.8441321841632273,0.3802303766550669,0.619769623344933,0.8976261731224205,0.35585665658987725,0.6441433434101227,0.9297225664979364
2035,0.8,0.19999999999999996,0.3448549538774248,0.5291808881645593,0.4708191118354407,0.7014815469387123,0.4389078508860791,0.5610921491139209,0.8203570779591417,0.39377133224683897,0.606228667753161,0.8797948434693561,0.3666894210632949,0.6333105789367051,0.9154575027754848
